C:\Users\Kingsley E. Nweye\Documents\eQUEST 3-65 Projects\Project 3\Project 3 - Baseline Design,,,,,,,,,,,,,,,,,,
Simulated:  2020-Nov-09 07:22:25,,,,,,,,,,,,,,,,,,
CSV Written:  2020-Nov-09 07:22:26,,,,,,,,,,,,,,,,,,
eQUEST 3.65.7175,,,,,,,,,,,,,,,,,,
,,,,Hourly Report,,,,,,,,,,,,,,
,,,,EM1 Hourly Report Block,,FM1 Hourly Report Block,,,,,,,,,,,,
,,,,EXTERIOR-WALL,,FUEL-METER,,,,,,,,,,,,
,,,,EL1 Roof (T.16.E17),,FM1,,,,,,,,,,,,
,,,Day,Var 1,Var 19,Var 1,Var 2,Var 3,Var 4,Var 5,Var 6,Var 7,Var 8,Var 9,Var 10,Var 11,Var 12,Var 20
Month,Day,Hour,Type,Total solar rad on wall after shading (Btu/Hr-Ft2),Surface total solar radiation (Btu/hr-ft2),Lighting end-use energy,Task lighting end-use energy,Miscellaneous equipment end-use energy,Heating end-use energy,Cooling end-use energy,Heat rejection end-use energy,Auxiliary end-use energy (pumps),Vent fan end-use energy,Refrigeration systems end-use energy,Supplemental heat pump end-use energy,Domestic hot water end-use energy,Exterior to the building end-use energy,Total end-use energy
1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,443.364,0,443.364
1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,443.756,0,443.756
1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,444.304,0,444.304
1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,444.932,0,444.932
1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,445.482,0,445.482
1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,446.042,0,446.042
1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,446.551,0,446.551
1,1,8,8,1.94623,0,0,0,0,0,0,0,0,0,0,0,447.06,0,447.06
1,1,9,8,30.096,0,0,0,0,0,0,0,0,0,0,0,447.52,0,447.52
1,1,10,8,48.0612,0,0,0,0,0,0,0,0,0,0,0,447.888,0,447.888
1,1,11,8,60.9563,0,0,0,0,0,0,0,0,0,0,0,448.232,0,448.232
1,1,12,8,48.7067,0,0,0,0,0,0,0,0,0,0,0,448.158,0,448.158
1,1,13,8,49.5653,0,0,0,0,0,0,0,0,0,0,0,447.957,0,447.957
1,1,14,8,29.4317,0,0,0,0,0,0,0,0,0,0,0,447.74,0,447.74
1,1,15,8,15.5079,0,0,0,0,0,0,0,0,0,0,0,447.553,0,447.553
1,1,16,8,8.50484,0,0,0,0,0,0,0,0,0,0,0,447.238,0,447.238
1,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,447.216,0,447.216
1,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,447.244,0,447.244
1,1,19,8,0,0,0,0,0,0,0,0,0,0,0,0,447.283,0,447.283
1,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,447.413,0,447.413
1,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,447.488,0,447.488
1,1,22,8,0,0,0,0,0,0,0,0,0,0,0,0,447.536,0,447.536
1,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,447.51,0,447.51
1,1,24,8,0,0,0,0,0,0,0,0,0,0,0,0,447.533,0,447.533
1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,781.397,0,781.397
1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,781.408,0,781.408
1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,781.275,0,781.275
1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,781.18,0,781.18
1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,781.077,0,781.077
1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,781.075,0,781.075
1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1267.63,0,1267.63
1,2,8,4,0,0,0,0,0,1.51E+06,0,0,0,0,0,0,5078.68,0,1.51E+06
1,2,9,4,6.51092,0,0,0,0,854038,0,0,0,0,0,0,5078.34,0,859117
1,2,10,4,73.0131,0,0,0,0,587724,0,0,0,0,0,0,8867.02,0,596591
1,2,11,4,153.554,0,0,0,0,435002,0,0,0,0,0,0,8857.66,0,443860
1,2,12,4,23.6347,0,0,0,0,424581,0,0,0,0,0,0,8854.27,0,433435
1,2,13,4,22.6416,0,0,0,0,376774,0,0,0,0,0,0,8852.08,0,385626
1,2,14,4,15.0366,0,0,0,0,337471,0,0,0,0,0,0,8850.43,0,346321
1,2,15,4,10.7045,0,0,0,0,297760,0,0,0,0,0,0,8848.98,0,306609
1,2,16,4,3.95447,0,0,0,0,264088,0,0,0,0,0,0,6901.51,0,270989
1,2,17,4,0,0,0,0,0,242549,0,0,0,0,0,0,5035.23,0,247584
1,2,18,4,0,0,0,0,0,259080,0,0,0,0,0,0,3087.98,0,262168
1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2194.92,0,2194.92
1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2193.93,0,2193.93
1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2196.63,0,2196.63
1,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,738.335,0,738.335
1,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,739.586,0,739.586
1,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,740.184,0,740.184
1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,740.762,0,740.762
1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,741.158,0,741.158
1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,741.497,0,741.497
1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,741.817,0,741.817
1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,742.12,0,742.12
1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,742.449,0,742.449
1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1229.27,0,1229.27
1,3,8,5,2.45597,0,0,0,0,719342,0,0,0,0,0,0,5040.62,0,724382
1,3,9,5,30.709,0,0,0,0,354813,0,0,0,0,0,0,5040.53,0,359853
1,3,10,5,108.478,0,0,0,0,224765,0,0,0,0,0,0,8841.73,0,233607
1,3,11,5,27.0836,0,0,0,0,232382,0,0,0,0,0,0,8838.51,0,241221
1,3,12,5,57.0707,0,0,0,0,209833,0,0,0,0,0,0,8837.01,0,218670
1,3,13,5,17.7162,0,0,0,0,211968,0,0,0,0,0,0,8836.12,0,220804
1,3,14,5,15.0316,0,0,0,0,193111,0,0,0,0,0,0,8835.44,0,201947
1,3,15,5,14.4941,0,0,0,0,199443,0,0,0,0,0,0,8834.8,0,208278
1,3,16,5,3.95164,0,0,0,0,200028,0,0,0,0,0,0,6888.1,0,206916
1,3,17,5,0,0,0,0,0,231897,0,0,0,0,0,0,5022.55,0,236920
1,3,18,5,0,0,0,0,0,294457,0,0,0,0,0,0,3076.03,0,297533
1,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.71,0,2183.71
1,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.43,0,2183.43
1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2184.17,0,2184.17
1,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,726.69,0,726.69
1,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,727.828,0,727.828
1,3,24,5,0,0,0,0,0,0,0,0,0,0,0,0,729.098,0,729.098
1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,396.25,0,396.25
1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,397.247,0,397.247
1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,398.229,0,398.229
1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,399.068,0,399.068
1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,399.931,0,399.931
1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,400.751,0,400.751
1,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,401.506,0,401.506
1,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,402.19,0,402.19
1,4,9,6,6.51266,0,0,0,0,0,0,0,0,0,0,0,402.881,0,402.881
1,4,10,6,10.6414,0,0,0,0,0,0,0,0,0,0,0,403.572,0,403.572
1,4,11,6,14.9953,0,0,0,0,0,0,0,0,0,0,0,404.271,0,404.271
1,4,12,6,17.7039,0,0,0,0,0,0,0,0,0,0,0,404.879,0,404.879
1,4,13,6,17.7119,0,0,0,0,0,0,0,0,0,0,0,405.482,0,405.482
1,4,14,6,15.0264,0,0,0,0,0,0,0,0,0,0,0,405.984,0,405.984
1,4,15,6,10.6924,0,0,0,0,0,0,0,0,0,0,0,406.444,0,406.444
1,4,16,6,3.94889,0,0,0,0,0,0,0,0,0,0,0,406.967,0,406.967
1,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,407.421,0,407.421
1,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,408.164,0,408.164
1,4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,408.903,0,408.903
1,4,20,6,0,0,0,0,0,0,0,0,0,0,0,0,409.775,0,409.775
1,4,21,6,0,0,0,0,0,0,0,0,0,0,0,0,410.612,0,410.612
1,4,22,6,0,0,0,0,0,0,0,0,0,0,0,0,411.45,0,411.45
1,4,23,6,0,0,0,0,0,0,0,0,0,0,0,0,412.268,0,412.268
1,4,24,6,0,0,0,0,0,0,0,0,0,0,0,0,413.054,0,413.054
1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,413.833,0,413.833
1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,414.596,0,414.596
1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,415.358,0,415.358
1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,416.102,0,416.102
1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,416.828,0,416.828
1,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,417.584,0,417.584
1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,418.413,0,418.413
1,5,8,7,0.772133,0,0,0,0,0,0,0,0,0,0,0,419.263,0,419.263
1,5,9,7,17.6136,0,0,0,0,0,0,0,0,0,0,0,420.079,0,420.079
1,5,10,7,34.0439,0,0,0,0,0,0,0,0,0,0,0,420.973,0,420.973
1,5,11,7,224.007,0,0,0,0,0,0,0,0,0,0,0,421.846,0,421.846
1,5,12,7,274.158,0,0,0,0,0,0,0,0,0,0,0,422.604,0,422.604
1,5,13,7,253.612,0,0,0,0,0,0,0,0,0,0,0,423.205,0,423.205
1,5,14,7,33.8359,0,0,0,0,0,0,0,0,0,0,0,422.246,0,422.246
1,5,15,7,161.742,0,0,0,0,0,0,0,0,0,0,0,421.983,0,421.983
1,5,16,7,100.999,0,0,0,0,0,0,0,0,0,0,0,421.46,0,421.46
1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,422.627,0,422.627
1,5,18,7,0,0,0,0,0,0,0,0,0,0,0,0,422.069,0,422.069
1,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,422.75,0,422.75
1,5,20,7,0,0,0,0,0,0,0,0,0,0,0,0,424.227,0,424.227
1,5,21,7,0,0,0,0,0,0,0,0,0,0,0,0,425.394,0,425.394
1,5,22,7,0,0,0,0,0,0,0,0,0,0,0,0,426.701,0,426.701
1,5,23,7,0,0,0,0,0,0,0,0,0,0,0,0,427.996,0,427.996
1,5,24,7,0,0,0,0,0,0,0,0,0,0,0,0,429.313,0,429.313
1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,764.459,0,764.459
1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,765.743,0,765.743
1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,766.992,0,766.992
1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,768.216,0,768.216
1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,769.532,0,769.532
1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,770.786,0,770.786
1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1258.58,0,1258.58
1,6,8,1,17.536,0,0,0,0,1.67E+06,0,0,0,0,0,0,5070.82,0,1.68E+06
1,6,9,1,118.222,0,0,0,0,1.11E+06,0,0,0,0,0,0,5071.63,0,1.12E+06
1,6,10,1,194.105,0,0,0,0,825664,0,0,0,0,0,0,8863.81,0,834528
1,6,11,1,248.331,0,0,0,0,717982,0,0,0,0,0,0,8851.77,0,726833
1,6,12,1,273.13,0,0,0,0,663991,0,0,0,0,0,0,8848.57,0,672840
1,6,13,1,272.015,0,0,0,0,605550,0,0,0,0,0,0,8846.75,0,614396
1,6,14,1,243.345,0,0,0,0,541961,0,0,0,0,0,0,8845.48,0,550806
1,6,15,1,175.649,0,0,0,0,493913,0,0,0,0,0,0,8844.38,0,502757
1,6,16,1,100.578,0,0,0,0,499982,0,0,0,0,0,0,6897.24,0,506879
1,6,17,1,0,0,0,0,0,562338,0,0,0,0,0,0,5031.18,0,567369
1,6,18,1,0,0,0,0,0,610079,0,0,0,0,0,0,3084.3,0,613163
1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.63,0,2191.63
1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.05,0,2191.05
1,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2193.83,0,2193.83
1,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,738.621,0,738.621
1,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,741.131,0,741.131
1,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,743.551,0,743.551
1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,745.422,0,745.422
1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,747.058,0,747.058
1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,748.517,0,748.517
1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,749.874,0,749.874
1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,751.166,0,751.166
1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,752.384,0,752.384
1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1240.1,0,1240.1
1,7,8,2,17.8753,0,0,0,0,1.37E+06,0,0,0,0,0,0,5052.21,0,1.37E+06
1,7,9,2,117.973,0,0,0,0,742178,0,0,0,0,0,0,5052.98,0,747231
1,7,10,2,200.472,0,0,0,0,549627,0,0,0,0,0,0,8847.84,0,558474
1,7,11,2,241.81,0,0,0,0,485637,0,0,0,0,0,0,8842.49,0,494479
1,7,12,2,277.23,0,0,0,0,436420,0,0,0,0,0,0,8840.28,0,445261
1,7,13,2,256.229,0,0,0,0,389363,0,0,0,0,0,0,8839.18,0,398202
1,7,14,2,81.5625,0,0,0,0,382951,0,0,0,0,0,0,8838.3,0,391789
1,7,15,2,155.007,0,0,0,0,321161,0,0,0,0,0,0,8837.48,0,329998
1,7,16,2,99.0321,0,0,0,0,300944,0,0,0,0,0,0,6890.58,0,307835
1,7,17,2,0,0,0,0,0,387357,0,0,0,0,0,0,5025,0,392382
1,7,18,2,0,0,0,0,0,445669,0,0,0,0,0,0,3078.33,0,448748
1,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.93,0,2185.93
1,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.62,0,2185.62
1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2187.11,0,2187.11
1,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,730.624,0,730.624
1,7,23,2,0,0,0,0,0,0,0,0,0,0,0,0,732.316,0,732.316
1,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,734.028,0,734.028
1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,735.275,0,735.275
1,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,736.518,0,736.518
1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,737.49,0,737.49
1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,738.403,0,738.403
1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,739.253,0,739.253
1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,740.056,0,740.056
1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1227.35,0,1227.35
1,8,8,3,10.9261,0,0,0,0,924407,0,0,0,0,0,0,5039.04,0,929446
1,8,9,3,88.8392,0,0,0,0,466888,0,0,0,0,0,0,5039.38,0,471927
1,8,10,3,63.0911,0,0,0,0,362507,0,0,0,0,0,0,8839.68,0,371347
1,8,11,3,99.4273,0,0,0,0,302439,0,0,0,0,0,0,8836.04,0,311275
1,8,12,3,45.8375,0,0,0,0,313088,0,0,0,0,0,0,8834.53,0,321923
1,8,13,3,99.5268,0,0,0,0,268738,0,0,0,0,0,0,8833.8,0,277572
1,8,14,3,146.287,0,0,0,0,218678,0,0,0,0,0,0,8833.22,0,227511
1,8,15,3,71.938,0,0,0,0,204896,0,0,0,0,0,0,8832.73,0,213728
1,8,16,3,9.36259,0,0,0,0,241534,0,0,0,0,0,0,6886.13,0,248420
1,8,17,3,0,0,0,0,0,264853,0,0,0,0,0,0,5020.57,0,269874
1,8,18,3,0,0,0,0,0,311895,0,0,0,0,0,0,3074.17,0,314969
1,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.96,0,2181.96
1,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.77,0,2181.77
1,8,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2182.33,0,2182.33
1,8,22,3,0,0,0,0,0,0,0,0,0,0,0,0,725.144,0,725.144
1,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,726.378,0,726.378
1,8,24,3,0,0,0,0,0,0,0,0,0,0,0,0,727.853,0,727.853
1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,728.999,0,728.999
1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,730.063,0,730.063
1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,730.986,0,730.986
1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,731.931,0,731.931
1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,732.805,0,732.805
1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,733.676,0,733.676
1,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1221.08,0,1221.08
1,9,8,4,10.8766,0,0,0,0,809552,0,0,0,0,0,0,5032.88,0,814584
1,9,9,4,87.9015,0,0,0,0,426410,0,0,0,0,0,0,5033.3,0,431443
1,9,10,4,33.901,0,0,0,0,366145,0,0,0,0,0,0,8835.85,0,374981
1,9,11,4,60.7912,0,0,0,0,338144,0,0,0,0,0,0,8832.79,0,346977
1,9,12,4,256.092,0,0,0,0,271826,0,0,0,0,0,0,8831.61,0,280658
1,9,13,4,262.285,0,0,0,0,248241,0,0,0,0,0,0,8831.11,0,257072
1,9,14,4,160.537,0,0,0,0,208818,0,0,0,0,0,0,8830.72,0,217648
1,9,15,4,162.384,0,0,0,0,177781,0,0,0,0,0,0,8830.25,0,186612
1,9,16,4,16.6399,0,0,0,0,215552,0,0,0,0,0,0,6883.66,0,222435
1,9,17,4,6.39532,0,0,0,0,267727,0,0,0,0,0,0,5018.27,0,272745
1,9,18,4,0,0,0,0,0,328375,0,0,0,0,0,0,3071.9,0,331447
1,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.99,0,2179.99
1,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.94,0,2179.94
1,9,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2180.27,0,2180.27
1,9,22,4,0,0,0,0,0,0,0,0,0,0,0,0,723.165,0,723.165
1,9,23,4,0,0,0,0,0,0,0,0,0,0,0,0,724.506,0,724.506
1,9,24,4,0,0,0,0,0,0,0,0,0,0,0,0,726.108,0,726.108
1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,727.412,0,727.412
1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,728.661,0,728.661
1,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,729.83,0,729.83
1,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,730.905,0,730.905
1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,731.909,0,731.909
1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,732.912,0,732.912
1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1220.4,0,1220.4
1,10,8,5,3.90778,0,0,0,0,866152,0,0,0,0,0,0,5032.36,0,871184
1,10,9,5,43.3205,0,0,0,0,486772,0,0,0,0,0,0,5032.87,0,491805
1,10,10,5,86.8176,0,0,0,0,371979,0,0,0,0,0,0,8835.32,0,380815
1,10,11,5,109.31,0,0,0,0,332859,0,0,0,0,0,0,8832.17,0,341692
1,10,12,5,123.791,0,0,0,0,307158,0,0,0,0,0,0,8831.01,0,315989
1,10,13,5,125.8,0,0,0,0,279473,0,0,0,0,0,0,8830.5,0,288304
1,10,14,5,106.376,0,0,0,0,248299,0,0,0,0,0,0,8830.13,0,257129
1,10,15,5,74.4232,0,0,0,0,224944,0,0,0,0,0,0,8829.78,0,233774
1,10,16,5,38.688,0,0,0,0,236238,0,0,0,0,0,0,6883.35,0,243122
1,10,17,5,3.91602,0,0,0,0,269316,0,0,0,0,0,0,5017.97,0,274334
1,10,18,5,0,0,0,0,0,316042,0,0,0,0,0,0,3071.69,0,319113
1,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.59,0,2179.59
1,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.5,0,2179.5
1,10,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.75,0,2179.75
1,10,22,5,0,0,0,0,0,0,0,0,0,0,0,0,722.653,0,722.653
1,10,23,5,0,0,0,0,0,0,0,0,0,0,0,0,723.806,0,723.806
1,10,24,5,0,0,0,0,0,0,0,0,0,0,0,0,725.305,0,725.305
1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,392.557,0,392.557
1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,393.698,0,393.698
1,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,394.77,0,394.77
1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,395.81,0,395.81
1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,396.749,0,396.749
1,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,397.677,0,397.677
1,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,398.584,0,398.584
1,11,8,6,3.39688,0,0,0,0,0,0,0,0,0,0,0,399.455,0,399.455
1,11,9,6,42.5759,0,0,0,0,0,0,0,0,0,0,0,400.343,0,400.343
1,11,10,6,86.649,0,0,0,0,0,0,0,0,0,0,0,401.218,0,401.218
1,11,11,6,112.815,0,0,0,0,0,0,0,0,0,0,0,402.017,0,402.017
1,11,12,6,126.966,0,0,0,0,0,0,0,0,0,0,0,402.399,0,402.399
1,11,13,6,125.381,0,0,0,0,0,0,0,0,0,0,0,402.459,0,402.459
1,11,14,6,109.823,0,0,0,0,0,0,0,0,0,0,0,402.573,0,402.573
1,11,15,6,81.867,0,0,0,0,0,0,0,0,0,0,0,402.451,0,402.451
1,11,16,6,36.9401,0,0,0,0,0,0,0,0,0,0,0,402.429,0,402.429
1,11,17,6,2.39473,0,0,0,0,0,0,0,0,0,0,0,402.488,0,402.488
1,11,18,6,0,0,0,0,0,0,0,0,0,0,0,0,402.685,0,402.685
1,11,19,6,0,0,0,0,0,0,0,0,0,0,0,0,403.181,0,403.181
1,11,20,6,0,0,0,0,0,0,0,0,0,0,0,0,403.976,0,403.976
1,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,404.744,0,404.744
1,11,22,6,0,0,0,0,0,0,0,0,0,0,0,0,405.487,0,405.487
1,11,23,6,0,0,0,0,0,0,0,0,0,0,0,0,406.195,0,406.195
1,11,24,6,0,0,0,0,0,0,0,0,0,0,0,0,406.865,0,406.865
1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,407.513,0,407.513
1,12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,408.035,0,408.035
1,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,408.577,0,408.577
1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,409.102,0,409.102
1,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,409.644,0,409.644
1,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,410.185,0,410.185
1,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,410.808,0,410.808
1,12,8,7,3.38179,0,0,0,0,0,0,0,0,0,0,0,411.418,0,411.418
1,12,9,7,42.4758,0,0,0,0,0,0,0,0,0,0,0,412.158,0,412.158
1,12,10,7,82.1985,0,0,0,0,0,0,0,0,0,0,0,412.805,0,412.805
1,12,11,7,112.549,0,0,0,0,0,0,0,0,0,0,0,413.435,0,413.435
1,12,12,7,135.32,0,0,0,0,0,0,0,0,0,0,0,413.583,0,413.583
1,12,13,7,235.989,0,0,0,0,0,0,0,0,0,0,0,413.603,0,413.603
1,12,14,7,232.631,0,0,0,0,0,0,0,0,0,0,0,413.511,0,413.511
1,12,15,7,151.292,0,0,0,0,0,0,0,0,0,0,0,413.398,0,413.398
