C:\Users\Kingsley E. Nweye\Documents\eQUEST 3-65 Projects\Project 3\Project 3 - Baseline Design,,,,,,,,,,,,,,,,,,
Simulated:  2020-Nov-09 07:16:34,,,,,,,,,,,,,,,,,,
CSV Written:  2020-Nov-09 07:16:34,,,,,,,,,,,,,,,,,,
eQUEST 3.65.7175,,,,,,,,,,,,,,,,,,
,,,,Hourly Report,,,,,,,,,,,,,,
,,,,EM1 Hourly Report Block,,FM1 Hourly Report Block,,,,,,,,,,,,
,,,,EXTERIOR-WALL,,FUEL-METER,,,,,,,,,,,,
,,,,EL1 Roof (T.16.E17),,FM1,,,,,,,,,,,,
,,,Day,Var 1,Var 19,Var 1,Var 2,Var 3,Var 4,Var 5,Var 6,Var 7,Var 8,Var 9,Var 10,Var 11,Var 12,Var 20
Month,Day,Hour,Type,Total solar rad on wall after shading (Btu/Hr-Ft2),Surface total solar radiation (Btu/hr-ft2),Lighting end-use energy,Task lighting end-use energy,Miscellaneous equipment end-use energy,Heating end-use energy,Cooling end-use energy,Heat rejection end-use energy,Auxiliary end-use energy (pumps),Vent fan end-use energy,Refrigeration systems end-use energy,Supplemental heat pump end-use energy,Domestic hot water end-use energy,Exterior to the building end-use energy,Total end-use energy
1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,443.363,0,443.363
1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,443.755,0,443.755
1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,444.3,0,444.3
1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,444.925,0,444.925
1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,445.472,0,445.472
1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,446.029,0,446.029
1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,446.536,0,446.536
1,1,8,8,1.4565,0,0,0,0,0,0,0,0,0,0,0,447.045,0,447.045
1,1,9,8,27.4597,0,0,0,0,0,0,0,0,0,0,0,447.504,0,447.504
1,1,10,8,45.907,0,0,0,0,0,0,0,0,0,0,0,447.872,0,447.872
1,1,11,8,58.6988,0,0,0,0,0,0,0,0,0,0,0,448.216,0,448.216
1,1,12,8,50.2542,0,0,0,0,0,0,0,0,0,0,0,448.142,0,448.142
1,1,13,8,50.7195,0,0,0,0,0,0,0,0,0,0,0,447.942,0,447.942
1,1,14,8,31.4468,0,0,0,0,0,0,0,0,0,0,0,447.726,0,447.726
1,1,15,8,17.1376,0,0,0,0,0,0,0,0,0,0,0,447.539,0,447.539
1,1,16,8,9.48543,0,0,0,0,0,0,0,0,0,0,0,447.224,0,447.224
1,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,447.202,0,447.202
1,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,447.23,0,447.23
1,1,19,8,0,0,0,0,0,0,0,0,0,0,0,0,447.269,0,447.269
1,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,447.4,0,447.4
1,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,447.476,0,447.476
1,1,22,8,0,0,0,0,0,0,0,0,0,0,0,0,447.525,0,447.525
1,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,447.5,0,447.5
1,1,24,8,0,0,0,0,0,0,0,0,0,0,0,0,447.524,0,447.524
1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,781.39,0,781.39
1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,781.403,0,781.403
1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,781.272,0,781.272
1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,781.177,0,781.177
1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,781.076,0,781.076
1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,781.075,0,781.075
1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1267.63,0,1267.63
1,2,8,4,0,0,0,0,0,1.51E+06,0,0,0,0,0,0,5078.68,0,1.51E+06
1,2,9,4,7.4839,0,0,0,0,853973,0,0,0,0,0,0,5078.34,0,859052
1,2,10,4,62.9605,0,0,0,0,587709,0,0,0,0,0,0,8867.02,0,596576
1,2,11,4,128.61,0,0,0,0,435022,0,0,0,0,0,0,8857.66,0,443880
1,2,12,4,25.9097,0,0,0,0,424576,0,0,0,0,0,0,8854.27,0,433431
1,2,13,4,24.8842,0,0,0,0,376787,0,0,0,0,0,0,8852.08,0,385639
1,2,14,4,16.8871,0,0,0,0,337438,0,0,0,0,0,0,8850.43,0,346289
1,2,15,4,12.1472,0,0,0,0,297738,0,0,0,0,0,0,8848.97,0,306587
1,2,16,4,4.6496,0,0,0,0,264058,0,0,0,0,0,0,6901.51,0,270960
1,2,17,4,0,0,0,0,0,242527,0,0,0,0,0,0,5035.23,0,247562
1,2,18,4,0,0,0,0,0,259083,0,0,0,0,0,0,3087.97,0,262171
1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2194.92,0,2194.92
1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2193.93,0,2193.93
1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2196.63,0,2196.63
1,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,738.335,0,738.335
1,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,739.586,0,739.586
1,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,740.185,0,740.185
1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,740.763,0,740.763
1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,741.159,0,741.159
1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,741.497,0,741.497
1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,741.815,0,741.815
1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,742.117,0,742.117
1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,742.444,0,742.444
1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1229.26,0,1229.26
1,3,8,5,1.69357,0,0,0,0,718637,0,0,0,0,0,0,5040.61,0,723678
1,3,9,5,27.8311,0,0,0,0,354295,0,0,0,0,0,0,5040.51,0,359336
1,3,10,5,88.5191,0,0,0,0,224345,0,0,0,0,0,0,8841.72,0,233186
1,3,11,5,29.2225,0,0,0,0,231923,0,0,0,0,0,0,8838.5,0,240762
1,3,12,5,56.3186,0,0,0,0,209410,0,0,0,0,0,0,8837,0,218247
1,3,13,5,19.7816,0,0,0,0,211507,0,0,0,0,0,0,8836.12,0,220343
1,3,14,5,16.8839,0,0,0,0,192653,0,0,0,0,0,0,8835.44,0,201488
1,3,15,5,16.1146,0,0,0,0,199002,0,0,0,0,0,0,8834.8,0,207836
1,3,16,5,4.64787,0,0,0,0,199537,0,0,0,0,0,0,6888.1,0,206425
1,3,17,5,0,0,0,0,0,231400,0,0,0,0,0,0,5022.55,0,236423
1,3,18,5,0,0,0,0,0,293904,0,0,0,0,0,0,3076.02,0,296980
1,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.7,0,2183.7
1,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.43,0,2183.43
1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2184.15,0,2184.15
1,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,726.669,0,726.669
1,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,727.794,0,727.794
1,3,24,5,0,0,0,0,0,0,0,0,0,0,0,0,729.059,0,729.059
1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,396.204,0,396.204
1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,397.199,0,397.199
1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,398.178,0,398.178
1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,399.016,0,399.016
1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,399.877,0,399.877
1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,400.695,0,400.695
1,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,401.449,0,401.449
1,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,402.131,0,402.131
1,4,9,6,7.48484,0,0,0,0,0,0,0,0,0,0,0,402.821,0,402.821
1,4,10,6,12.109,0,0,0,0,0,0,0,0,0,0,0,403.511,0,403.511
1,4,11,6,16.861,0,0,0,0,0,0,0,0,0,0,0,404.209,0,404.209
1,4,12,6,19.7742,0,0,0,0,0,0,0,0,0,0,0,404.817,0,404.817
1,4,13,6,19.7789,0,0,0,0,0,0,0,0,0,0,0,405.418,0,405.418
1,4,14,6,16.8806,0,0,0,0,0,0,0,0,0,0,0,405.92,0,405.92
1,4,15,6,12.14,0,0,0,0,0,0,0,0,0,0,0,406.378,0,406.378
1,4,16,6,4.64612,0,0,0,0,0,0,0,0,0,0,0,406.9,0,406.9
1,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,407.353,0,407.353
1,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,408.095,0,408.095
1,4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,408.833,0,408.833
1,4,20,6,0,0,0,0,0,0,0,0,0,0,0,0,409.704,0,409.704
1,4,21,6,0,0,0,0,0,0,0,0,0,0,0,0,410.538,0,410.538
1,4,22,6,0,0,0,0,0,0,0,0,0,0,0,0,411.375,0,411.375
1,4,23,6,0,0,0,0,0,0,0,0,0,0,0,0,412.192,0,412.192
1,4,24,6,0,0,0,0,0,0,0,0,0,0,0,0,412.977,0,412.977
1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,413.754,0,413.754
1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,414.516,0,414.516
1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,415.276,0,415.276
1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,416.019,0,416.019
1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,416.742,0,416.742
1,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,417.495,0,417.495
1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,418.322,0,418.322
1,5,8,7,0.937151,0,0,0,0,0,0,0,0,0,0,0,419.169,0,419.169
1,5,9,7,18.5187,0,0,0,0,0,0,0,0,0,0,0,419.985,0,419.985
1,5,10,7,35.1904,0,0,0,0,0,0,0,0,0,0,0,420.876,0,420.876
1,5,11,7,179.68,0,0,0,0,0,0,0,0,0,0,0,421.746,0,421.746
1,5,12,7,216.319,0,0,0,0,0,0,0,0,0,0,0,422.503,0,422.503
1,5,13,7,204.393,0,0,0,0,0,0,0,0,0,0,0,423.102,0,423.102
1,5,14,7,35.7721,0,0,0,0,0,0,0,0,0,0,0,422.142,0,422.142
1,5,15,7,125.843,0,0,0,0,0,0,0,0,0,0,0,421.876,0,421.876
1,5,16,7,71.3794,0,0,0,0,0,0,0,0,0,0,0,421.351,0,421.351
1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,422.514,0,422.514
1,5,18,7,0,0,0,0,0,0,0,0,0,0,0,0,421.954,0,421.954
1,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,422.631,0,422.631
1,5,20,7,0,0,0,0,0,0,0,0,0,0,0,0,424.106,0,424.106
1,5,21,7,0,0,0,0,0,0,0,0,0,0,0,0,425.271,0,425.271
1,5,22,7,0,0,0,0,0,0,0,0,0,0,0,0,426.575,0,426.575
1,5,23,7,0,0,0,0,0,0,0,0,0,0,0,0,427.868,0,427.868
1,5,24,7,0,0,0,0,0,0,0,0,0,0,0,0,429.182,0,429.182
1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,764.324,0,764.324
1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,765.605,0,765.605
1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,766.85,0,766.85
1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,768.071,0,768.071
1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,769.383,0,769.383
1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,770.633,0,770.633
1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1258.43,0,1258.43
1,6,8,1,10.4817,0,0,0,0,1.67E+06,0,0,0,0,0,0,5070.66,0,1.68E+06
1,6,9,1,86.1804,0,0,0,0,1.11E+06,0,0,0,0,0,0,5071.47,0,1.11E+06
1,6,10,1,148.418,0,0,0,0,823532,0,0,0,0,0,0,8863.66,0,832396
1,6,11,1,193.893,0,0,0,0,716278,0,0,0,0,0,0,8851.69,0,725129
1,6,12,1,215.765,0,0,0,0,662491,0,0,0,0,0,0,8848.5,0,671339
1,6,13,1,214.658,0,0,0,0,604072,0,0,0,0,0,0,8846.68,0,612919
1,6,14,1,189.605,0,0,0,0,540560,0,0,0,0,0,0,8845.42,0,549405
1,6,15,1,133.052,0,0,0,0,492529,0,0,0,0,0,0,8844.33,0,501374
1,6,16,1,71.1885,0,0,0,0,498606,0,0,0,0,0,0,6897.19,0,505503
1,6,17,1,0,0,0,0,0,560987,0,0,0,0,0,0,5031.13,0,566018
1,6,18,1,0,0,0,0,0,608805,0,0,0,0,0,0,3084.25,0,611889
1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.58,0,2191.58
1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2191,0,2191
1,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2193.76,0,2193.76
1,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,738.543,0,738.543
1,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,741.04,0,741.04
1,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,743.453,0,743.453
1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,745.314,0,745.314
1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,746.944,0,746.944
1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,748.391,0,748.391
1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,749.742,0,749.742
1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,751.025,0,751.025
1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,752.236,0,752.236
1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1239.95,0,1239.95
1,7,8,2,10.6935,0,0,0,0,1.36E+06,0,0,0,0,0,0,5052.05,0,1.37E+06
1,7,9,2,86.0633,0,0,0,0,739219,0,0,0,0,0,0,5052.81,0,744272
1,7,10,2,153.368,0,0,0,0,547061,0,0,0,0,0,0,8847.76,0,555909
1,7,11,2,189.327,0,0,0,0,483289,0,0,0,0,0,0,8842.42,0,492132
1,7,12,2,219.015,0,0,0,0,434513,0,0,0,0,0,0,8840.22,0,443353
1,7,13,2,206.832,0,0,0,0,387464,0,0,0,0,0,0,8839.13,0,396303
1,7,14,2,70.9694,0,0,0,0,380857,0,0,0,0,0,0,8838.24,0,389695
1,7,15,2,121.242,0,0,0,0,319312,0,0,0,0,0,0,8837.43,0,328150
1,7,16,2,70.3559,0,0,0,0,299080,0,0,0,0,0,0,6890.53,0,305970
1,7,17,2,0,0,0,0,0,385149,0,0,0,0,0,0,5024.95,0,390174
1,7,18,2,0,0,0,0,0,443391,0,0,0,0,0,0,3078.28,0,446469
1,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.88,0,2185.88
1,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.58,0,2185.58
1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2187.03,0,2187.03
1,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,730.526,0,730.526
1,7,23,2,0,0,0,0,0,0,0,0,0,0,0,0,732.201,0,732.201
1,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,733.899,0,733.899
1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,735.138,0,735.138
1,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,736.373,0,736.373
1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,737.337,0,737.337
1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,738.241,0,738.241
1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,739.087,0,739.087
1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,739.885,0,739.885
1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1227.17,0,1227.17
1,8,8,3,6.70561,0,0,0,0,918690,0,0,0,0,0,0,5038.86,0,923729
1,8,9,3,69.8827,0,0,0,0,463408,0,0,0,0,0,0,5039.19,0,468447
1,8,10,3,56.8258,0,0,0,0,359562,0,0,0,0,0,0,8839.58,0,368401
1,8,11,3,88.4755,0,0,0,0,299823,0,0,0,0,0,0,8835.96,0,308659
1,8,12,3,47.7186,0,0,0,0,310484,0,0,0,0,0,0,8834.46,0,319319
1,8,13,3,89.8682,0,0,0,0,262943,0,0,0,0,0,0,8833.73,0,271777
1,8,14,3,121.384,0,0,0,0,214575,0,0,0,0,0,0,8833.16,0,223408
1,8,15,3,61.9171,0,0,0,0,200781,0,0,0,0,0,0,8832.66,0,209614
1,8,16,3,10.4346,0,0,0,0,238211,0,0,0,0,0,0,6886.06,0,245097
1,8,17,3,0,0,0,0,0,262024,0,0,0,0,0,0,5020.51,0,267044
1,8,18,3,0,0,0,0,0,309507,0,0,0,0,0,0,3074.11,0,312581
1,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.91,0,2181.91
1,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.72,0,2181.72
1,8,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2182.24,0,2182.24
1,8,22,3,0,0,0,0,0,0,0,0,0,0,0,0,725.041,0,725.041
1,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,726.263,0,726.263
1,8,24,3,0,0,0,0,0,0,0,0,0,0,0,0,727.733,0,727.733
1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,728.874,0,728.874
1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,729.935,0,729.935
1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,730.855,0,730.855
1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,731.798,0,731.798
1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,732.669,0,732.669
1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,733.538,0,733.538
1,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1220.94,0,1220.94
1,9,8,4,6.6813,0,0,0,0,805825,0,0,0,0,0,0,5032.73,0,810858
1,9,9,4,69.3718,0,0,0,0,424279,0,0,0,0,0,0,5033.15,0,429313
1,9,10,4,35.1303,0,0,0,0,364484,0,0,0,0,0,0,8835.77,0,373320
1,9,11,4,58.6861,0,0,0,0,336608,0,0,0,0,0,0,8832.72,0,345440
1,9,12,4,207.751,0,0,0,0,270617,0,0,0,0,0,0,8831.55,0,279448
1,9,13,4,210.718,0,0,0,0,246986,0,0,0,0,0,0,8831.06,0,255817
1,9,14,4,132.651,0,0,0,0,207579,0,0,0,0,0,0,8830.67,0,216409
1,9,15,4,128.149,0,0,0,0,176506,0,0,0,0,0,0,8830.2,0,185336
1,9,16,4,17.0459,0,0,0,0,213698,0,0,0,0,0,0,6883.61,0,220582
1,9,17,4,3.86086,0,0,0,0,265839,0,0,0,0,0,0,5018.23,0,270857
1,9,18,4,0,0,0,0,0,326533,0,0,0,0,0,0,3071.86,0,329605
1,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.95,0,2179.95
1,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.9,0,2179.9
1,9,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2180.2,0,2180.2
1,9,22,4,0,0,0,0,0,0,0,0,0,0,0,0,723.061,0,723.061
1,9,23,4,0,0,0,0,0,0,0,0,0,0,0,0,724.377,0,724.377
1,9,24,4,0,0,0,0,0,0,0,0,0,0,0,0,725.962,0,725.962
1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,727.251,0,727.251
1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,728.484,0,728.484
1,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,729.649,0,729.649
1,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,730.719,0,730.719
1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,731.721,0,731.721
1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,732.718,0,732.718
1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1220.2,0,1220.2
1,10,8,5,2.47595,0,0,0,0,860503,0,0,0,0,0,0,5032.16,0,865535
1,10,9,5,36.6293,0,0,0,0,483597,0,0,0,0,0,0,5032.66,0,488629
1,10,10,5,74.6383,0,0,0,0,369571,0,0,0,0,0,0,8835.21,0,378407
1,10,11,5,96.7924,0,0,0,0,330704,0,0,0,0,0,0,8832.09,0,339536
1,10,12,5,110.014,0,0,0,0,305195,0,0,0,0,0,0,8830.94,0,314026
1,10,13,5,111.603,0,0,0,0,277694,0,0,0,0,0,0,8830.43,0,286525
1,10,14,5,94.1885,0,0,0,0,246503,0,0,0,0,0,0,8830.06,0,255333
1,10,15,5,65.7113,0,0,0,0,223245,0,0,0,0,0,0,8829.71,0,232074
1,10,16,5,32.4747,0,0,0,0,234417,0,0,0,0,0,0,6883.29,0,241301
1,10,17,5,2.47277,0,0,0,0,267588,0,0,0,0,0,0,5017.91,0,272606
1,10,18,5,0,0,0,0,0,314372,0,0,0,0,0,0,3071.64,0,317444
1,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.54,0,2179.54
1,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.45,0,2179.45
1,10,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.67,0,2179.67
1,10,22,5,0,0,0,0,0,0,0,0,0,0,0,0,722.562,0,722.562
1,10,23,5,0,0,0,0,0,0,0,0,0,0,0,0,723.703,0,723.703
1,10,24,5,0,0,0,0,0,0,0,0,0,0,0,0,725.197,0,725.197
1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,392.443,0,392.443
1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,393.581,0,393.581
1,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,394.65,0,394.65
1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,395.687,0,395.687
1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,396.622,0,396.622
1,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,397.548,0,397.548
1,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,398.453,0,398.453
1,11,8,6,2.23003,0,0,0,0,0,0,0,0,0,0,0,399.323,0,399.323
1,11,9,6,36.2061,0,0,0,0,0,0,0,0,0,0,0,400.208,0,400.208
1,11,10,6,74.5739,0,0,0,0,0,0,0,0,0,0,0,401.082,0,401.082
1,11,11,6,99.703,0,0,0,0,0,0,0,0,0,0,0,401.88,0,401.88
1,11,12,6,112.735,0,0,0,0,0,0,0,0,0,0,0,402.26,0,402.26
1,11,13,6,111.378,0,0,0,0,0,0,0,0,0,0,0,402.319,0,402.319
1,11,14,6,97.0768,0,0,0,0,0,0,0,0,0,0,0,402.431,0,402.431
1,11,15,6,70.543,0,0,0,0,0,0,0,0,0,0,0,402.307,0,402.307
1,11,16,6,31.4822,0,0,0,0,0,0,0,0,0,0,0,402.285,0,402.285
1,11,17,6,1.66232,0,0,0,0,0,0,0,0,0,0,0,402.343,0,402.343
1,11,18,6,0,0,0,0,0,0,0,0,0,0,0,0,402.539,0,402.539
1,11,19,6,0,0,0,0,0,0,0,0,0,0,0,0,403.035,0,403.035
1,11,20,6,0,0,0,0,0,0,0,0,0,0,0,0,403.829,0,403.829
1,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,404.597,0,404.597
1,11,22,6,0,0,0,0,0,0,0,0,0,0,0,0,405.339,0,405.339
1,11,23,6,0,0,0,0,0,0,0,0,0,0,0,0,406.046,0,406.046
1,11,24,6,0,0,0,0,0,0,0,0,0,0,0,0,406.715,0,406.715
1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,407.362,0,407.362
1,12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,407.883,0,407.883
1,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,408.425,0,408.425
1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,408.948,0,408.948
1,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,409.488,0,409.488
1,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,410.026,0,410.026
1,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,410.648,0,410.648
1,12,8,7,2.2228,0,0,0,0,0,0,0,0,0,0,0,411.254,0,411.254
1,12,9,7,36.1714,0,0,0,0,0,0,0,0,0,0,0,411.994,0,411.994
1,12,10,7,72.3274,0,0,0,0,0,0,0,0,0,0,0,412.639,0,412.639
1,12,11,7,99.5874,0,0,0,0,0,0,0,0,0,0,0,413.267,0,413.267
1,12,12,7,117.374,0,0,0,0,0,0,0,0,0,0,0,413.415,0,413.415
1,12,13,7,191.403,0,0,0,0,0,0,0,0,0,0,0,413.434,0,413.434
1,12,14,7,184.294,0,0,0,0,0,0,0,0,0,0,0,413.341,0,413.341
1,12,15,7,118.541,0,0,0,0,0,0,0,0,0,0,0,413.226,0,413.226
