C:\Users\Kingsley E. Nweye\Documents\eQUEST 3-65 Projects\Project 3\Project 3 - Baseline Design,,,,,,,,,,,,,,,,,,
Simulated:  2020-Nov-09 07:26:09,,,,,,,,,,,,,,,,,,
CSV Written:  2020-Nov-09 07:26:09,,,,,,,,,,,,,,,,,,
eQUEST 3.65.7175,,,,,,,,,,,,,,,,,,
,,,,Hourly Report,,,,,,,,,,,,,,
,,,,EM1 Hourly Report Block,,FM1 Hourly Report Block,,,,,,,,,,,,
,,,,EXTERIOR-WALL,,FUEL-METER,,,,,,,,,,,,
,,,,EL1 Roof (T.16.E17),,FM1,,,,,,,,,,,,
,,,Day,Var 1,Var 19,Var 1,Var 2,Var 3,Var 4,Var 5,Var 6,Var 7,Var 8,Var 9,Var 10,Var 11,Var 12,Var 20
Month,Day,Hour,Type,Total solar rad on wall after shading (Btu/Hr-Ft2),Surface total solar radiation (Btu/hr-ft2),Lighting end-use energy,Task lighting end-use energy,Miscellaneous equipment end-use energy,Heating end-use energy,Cooling end-use energy,Heat rejection end-use energy,Auxiliary end-use energy (pumps),Vent fan end-use energy,Refrigeration systems end-use energy,Supplemental heat pump end-use energy,Domestic hot water end-use energy,Exterior to the building end-use energy,Total end-use energy
1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,443.308,0,443.308
1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,443.7,0,443.7
1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,444.249,0,444.249
1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,444.879,0,444.879
1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,445.431,0,445.431
1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,445.992,0,445.992
1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,446.502,0,446.502
1,1,8,8,2.27239,0,0,0,0,0,0,0,0,0,0,0,447.012,0,447.012
1,1,9,8,30.5501,0,0,0,0,0,0,0,0,0,0,0,447.473,0,447.473
1,1,10,8,46.9267,0,0,0,0,0,0,0,0,0,0,0,447.841,0,447.841
1,1,11,8,59.0193,0,0,0,0,0,0,0,0,0,0,0,448.185,0,448.185
1,1,12,8,44.5392,0,0,0,0,0,0,0,0,0,0,0,448.111,0,448.111
1,1,13,8,45.647,0,0,0,0,0,0,0,0,0,0,0,447.911,0,447.911
1,1,14,8,26.0977,0,0,0,0,0,0,0,0,0,0,0,447.694,0,447.694
1,1,15,8,13.3113,0,0,0,0,0,0,0,0,0,0,0,447.508,0,447.508
1,1,16,8,7.228,0,0,0,0,0,0,0,0,0,0,0,447.193,0,447.193
1,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,447.171,0,447.171
1,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,447.199,0,447.199
1,1,19,8,0,0,0,0,0,0,0,0,0,0,0,0,447.238,0,447.238
1,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,447.369,0,447.369
1,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,447.444,0,447.444
1,1,22,8,0,0,0,0,0,0,0,0,0,0,0,0,447.492,0,447.492
1,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,447.466,0,447.466
1,1,24,8,0,0,0,0,0,0,0,0,0,0,0,0,447.488,0,447.488
1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,781.352,0,781.352
1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,781.363,0,781.363
1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,781.23,0,781.23
1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,781.134,0,781.134
1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,781.032,0,781.032
1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,781.03,0,781.03
1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1267.58,0,1267.58
1,2,8,4,0,0,0,0,0,1.51E+06,0,0,0,0,0,0,5078.64,0,1.51E+06
1,2,9,4,5.35345,0,0,0,0,853489,0,0,0,0,0,0,5078.3,0,858567
1,2,10,4,76.6492,0,0,0,0,587324,0,0,0,0,0,0,8866.98,0,596191
1,2,11,4,163.532,0,0,0,0,434646,0,0,0,0,0,0,8857.64,0,443503
1,2,12,4,20.4492,0,0,0,0,424272,0,0,0,0,0,0,8854.25,0,433126
1,2,13,4,19.5416,0,0,0,0,376481,0,0,0,0,0,0,8852.06,0,385333
1,2,14,4,12.6991,0,0,0,0,337220,0,0,0,0,0,0,8850.41,0,346071
1,2,15,4,8.93719,0,0,0,0,297522,0,0,0,0,0,0,8848.96,0,306371
1,2,16,4,3.16365,0,0,0,0,263869,0,0,0,0,0,0,6901.49,0,270771
1,2,17,4,0,0,0,0,0,242342,0,0,0,0,0,0,5035.22,0,247377
1,2,18,4,0,0,0,0,0,258877,0,0,0,0,0,0,3087.96,0,261965
1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2194.9,0,2194.9
1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2193.92,0,2193.92
1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2196.61,0,2196.61
1,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,738.317,0,738.317
1,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,739.566,0,739.566
1,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,740.163,0,740.163
1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,740.741,0,740.741
1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,741.137,0,741.137
1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,741.476,0,741.476
1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,741.797,0,741.797
1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,742.101,0,742.101
1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,742.431,0,742.431
1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1229.25,0,1229.25
1,3,8,5,2.99309,0,0,0,0,719243,0,0,0,0,0,0,5040.6,0,724284
1,3,9,5,31.3208,0,0,0,0,354820,0,0,0,0,0,0,5040.51,0,359860
1,3,10,5,117.785,0,0,0,0,224781,0,0,0,0,0,0,8841.72,0,233623
1,3,11,5,23.7939,0,0,0,0,232422,0,0,0,0,0,0,8838.5,0,241261
1,3,12,5,54.1648,0,0,0,0,209874,0,0,0,0,0,0,8837,0,218711
1,3,13,5,15.0535,0,0,0,0,212041,0,0,0,0,0,0,8836.11,0,220877
1,3,14,5,12.6932,0,0,0,0,193190,0,0,0,0,0,0,8835.43,0,202026
1,3,15,5,12.3642,0,0,0,0,199520,0,0,0,0,0,0,8834.8,0,208355
1,3,16,5,3.16041,0,0,0,0,200133,0,0,0,0,0,0,6888.1,0,207021
1,3,17,5,0,0,0,0,0,232007,0,0,0,0,0,0,5022.55,0,237029
1,3,18,5,0,0,0,0,0,294599,0,0,0,0,0,0,3076.02,0,297675
1,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.7,0,2183.7
1,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.43,0,2183.43
1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2184.16,0,2184.16
1,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,726.69,0,726.69
1,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,727.834,0,727.834
1,3,24,5,0,0,0,0,0,0,0,0,0,0,0,0,729.106,0,729.106
1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,396.261,0,396.261
1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,397.258,0,397.258
1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,398.241,0,398.241
1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,399.081,0,399.081
1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,399.944,0,399.944
1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,400.764,0,400.764
1,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,401.52,0,401.52
1,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,402.205,0,402.205
1,4,9,6,5.35582,0,0,0,0,0,0,0,0,0,0,0,402.896,0,402.896
1,4,10,6,8.85977,0,0,0,0,0,0,0,0,0,0,0,403.588,0,403.588
1,4,11,6,12.6496,0,0,0,0,0,0,0,0,0,0,0,404.287,0,404.287
1,4,12,6,15.0386,0,0,0,0,0,0,0,0,0,0,0,404.896,0,404.896
1,4,13,6,15.0486,0,0,0,0,0,0,0,0,0,0,0,405.499,0,405.499
1,4,14,6,12.6871,0,0,0,0,0,0,0,0,0,0,0,406.002,0,406.002
1,4,15,6,8.92238,0,0,0,0,0,0,0,0,0,0,0,406.462,0,406.462
1,4,16,6,3.15734,0,0,0,0,0,0,0,0,0,0,0,406.986,0,406.986
1,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,407.439,0,407.439
1,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,408.183,0,408.183
1,4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,408.923,0,408.923
1,4,20,6,0,0,0,0,0,0,0,0,0,0,0,0,409.795,0,409.795
1,4,21,6,0,0,0,0,0,0,0,0,0,0,0,0,410.633,0,410.633
1,4,22,6,0,0,0,0,0,0,0,0,0,0,0,0,411.472,0,411.472
1,4,23,6,0,0,0,0,0,0,0,0,0,0,0,0,412.29,0,412.29
1,4,24,6,0,0,0,0,0,0,0,0,0,0,0,0,413.077,0,413.077
1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,413.856,0,413.856
1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,414.62,0,414.62
1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,415.382,0,415.382
1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,416.127,0,416.127
1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,416.854,0,416.854
1,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,417.611,0,417.611
1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,418.441,0,418.441
1,5,8,7,0.583982,0,0,0,0,0,0,0,0,0,0,0,419.291,0,419.291
1,5,9,7,15.8868,0,0,0,0,0,0,0,0,0,0,0,420.109,0,420.109
1,5,10,7,31.1315,0,0,0,0,0,0,0,0,0,0,0,421.004,0,421.004
1,5,11,7,244.581,0,0,0,0,0,0,0,0,0,0,0,421.877,0,421.877
1,5,12,7,301.539,0,0,0,0,0,0,0,0,0,0,0,422.636,0,422.636
1,5,13,7,275.717,0,0,0,0,0,0,0,0,0,0,0,423.238,0,423.238
1,5,14,7,30.2936,0,0,0,0,0,0,0,0,0,0,0,422.28,0,422.28
1,5,15,7,180.47,0,0,0,0,0,0,0,0,0,0,0,422.017,0,422.017
1,5,16,7,119.407,0,0,0,0,0,0,0,0,0,0,0,421.496,0,421.496
1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,422.665,0,422.665
1,5,18,7,0,0,0,0,0,0,0,0,0,0,0,0,422.107,0,422.107
1,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,422.79,0,422.79
1,5,20,7,0,0,0,0,0,0,0,0,0,0,0,0,424.269,0,424.269
1,5,21,7,0,0,0,0,0,0,0,0,0,0,0,0,425.438,0,425.438
1,5,22,7,0,0,0,0,0,0,0,0,0,0,0,0,426.745,0,426.745
1,5,23,7,0,0,0,0,0,0,0,0,0,0,0,0,428.041,0,428.041
1,5,24,7,0,0,0,0,0,0,0,0,0,0,0,0,429.36,0,429.36
1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,764.507,0,764.507
1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,765.792,0,765.792
1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,767.043,0,767.043
1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,768.268,0,768.268
1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,769.585,0,769.585
1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,770.84,0,770.84
1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1258.64,0,1258.64
1,6,8,1,22.5009,0,0,0,0,1.68E+06,0,0,0,0,0,0,5070.88,0,1.68E+06
1,6,9,1,137.417,0,0,0,0,1.11E+06,0,0,0,0,0,0,5071.69,0,1.12E+06
1,6,10,1,218.42,0,0,0,0,826443,0,0,0,0,0,0,8863.87,0,835307
1,6,11,1,275.156,0,0,0,0,718601,0,0,0,0,0,0,8851.8,0,727452
1,6,12,1,300.177,0,0,0,0,664514,0,0,0,0,0,0,8848.6,0,673363
1,6,13,1,299.151,0,0,0,0,606096,0,0,0,0,0,0,8846.77,0,614942
1,6,14,1,270.028,0,0,0,0,542481,0,0,0,0,0,0,8845.51,0,551326
1,6,15,1,198.765,0,0,0,0,494424,0,0,0,0,0,0,8844.4,0,503269
1,6,16,1,118.795,0,0,0,0,500497,0,0,0,0,0,0,6897.26,0,507394
1,6,17,1,0,0,0,0,0,562848,0,0,0,0,0,0,5031.2,0,567879
1,6,18,1,0,0,0,0,0,610563,0,0,0,0,0,0,3084.32,0,613647
1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.64,0,2191.64
1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.06,0,2191.06
1,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2193.86,0,2193.86
1,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,738.65,0,738.65
1,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,741.165,0,741.165
1,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,743.587,0,743.587
1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,745.461,0,745.461
1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,747.101,0,747.101
1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,748.564,0,748.564
1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,749.924,0,749.924
1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,751.219,0,751.219
1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,752.439,0,752.439
1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1240.16,0,1240.16
1,7,8,2,22.9276,0,0,0,0,1.37E+06,0,0,0,0,0,0,5052.27,0,1.37E+06
1,7,9,2,137.063,0,0,0,0,743300,0,0,0,0,0,0,5053.05,0,748353
1,7,10,2,225.486,0,0,0,0,550605,0,0,0,0,0,0,8847.88,0,559452
1,7,11,2,267.506,0,0,0,0,486533,0,0,0,0,0,0,8842.52,0,495375
1,7,12,2,304.621,0,0,0,0,437119,0,0,0,0,0,0,8840.31,0,445959
1,7,13,2,278.231,0,0,0,0,390083,0,0,0,0,0,0,8839.21,0,398922
1,7,14,2,84.8479,0,0,0,0,383744,0,0,0,0,0,0,8838.32,0,392582
1,7,15,2,172.399,0,0,0,0,321864,0,0,0,0,0,0,8837.5,0,330701
1,7,16,2,116.728,0,0,0,0,301647,0,0,0,0,0,0,6890.6,0,308538
1,7,17,2,0,0,0,0,0,388203,0,0,0,0,0,0,5025.02,0,393228
1,7,18,2,0,0,0,0,0,446566,0,0,0,0,0,0,3078.34,0,449644
1,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.95,0,2185.95
1,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.64,0,2185.64
1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2187.14,0,2187.14
1,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,730.662,0,730.662
1,7,23,2,0,0,0,0,0,0,0,0,0,0,0,0,732.36,0,732.36
1,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,734.077,0,734.077
1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,735.327,0,735.327
1,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,736.573,0,736.573
1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,737.547,0,737.547
1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,738.464,0,738.464
1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,739.316,0,739.316
1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,740.121,0,740.121
1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1227.41,0,1227.41
1,8,8,3,13.9107,0,0,0,0,926643,0,0,0,0,0,0,5039.11,0,931682
1,8,9,3,99.1187,0,0,0,0,468248,0,0,0,0,0,0,5039.46,0,473288
1,8,10,3,64.2838,0,0,0,0,363679,0,0,0,0,0,0,8839.72,0,372519
1,8,11,3,101.821,0,0,0,0,303479,0,0,0,0,0,0,8836.08,0,312315
1,8,12,3,41.5828,0,0,0,0,314152,0,0,0,0,0,0,8834.56,0,322987
1,8,13,3,100.81,0,0,0,0,273684,0,0,0,0,0,0,8833.82,0,282517
1,8,14,3,156.64,0,0,0,0,221702,0,0,0,0,0,0,8833.25,0,230535
1,8,15,3,75.6028,0,0,0,0,207595,0,0,0,0,0,0,8832.77,0,216428
1,8,16,3,7.96397,0,0,0,0,243578,0,0,0,0,0,0,6886.16,0,250464
1,8,17,3,0,0,0,0,0,266496,0,0,0,0,0,0,5020.6,0,271516
1,8,18,3,0,0,0,0,0,313222,0,0,0,0,0,0,3074.2,0,316296
1,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.98,0,2181.98
1,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.79,0,2181.79
1,8,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2182.37,0,2182.37
1,8,22,3,0,0,0,0,0,0,0,0,0,0,0,0,725.194,0,725.194
1,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,726.433,0,726.433
1,8,24,3,0,0,0,0,0,0,0,0,0,0,0,0,727.911,0,727.911
1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,729.058,0,729.058
1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,730.123,0,730.123
1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,731.048,0,731.048
1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,731.995,0,731.995
1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,732.869,0,732.869
1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,733.74,0,733.74
1,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1221.15,0,1221.15
1,9,8,4,13.8415,0,0,0,0,811280,0,0,0,0,0,0,5032.94,0,816313
1,9,9,4,97.8798,0,0,0,0,427389,0,0,0,0,0,0,5033.36,0,432422
1,9,10,4,30.9278,0,0,0,0,366901,0,0,0,0,0,0,8835.89,0,375737
1,9,11,4,58.7176,0,0,0,0,338836,0,0,0,0,0,0,8832.82,0,347669
1,9,12,4,277.191,0,0,0,0,272350,0,0,0,0,0,0,8831.64,0,281181
1,9,13,4,285.48,0,0,0,0,248797,0,0,0,0,0,0,8831.14,0,257628
1,9,14,4,172.275,0,0,0,0,209361,0,0,0,0,0,0,8830.74,0,218192
1,9,15,4,179.626,0,0,0,0,178346,0,0,0,0,0,0,8830.28,0,187177
1,9,16,4,15.3762,0,0,0,0,216388,0,0,0,0,0,0,6883.69,0,223272
1,9,17,4,8.19585,0,0,0,0,268576,0,0,0,0,0,0,5018.29,0,273594
1,9,18,4,0,0,0,0,0,329203,0,0,0,0,0,0,3071.93,0,332275
1,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2180.01,0,2180.01
1,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.96,0,2179.96
1,9,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2180.31,0,2180.31
1,9,22,4,0,0,0,0,0,0,0,0,0,0,0,0,723.213,0,723.213
1,9,23,4,0,0,0,0,0,0,0,0,0,0,0,0,724.566,0,724.566
1,9,24,4,0,0,0,0,0,0,0,0,0,0,0,0,726.176,0,726.176
1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,727.485,0,727.485
1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,728.742,0,728.742
1,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,729.912,0,729.912
1,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,730.989,0,730.989
1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,731.994,0,731.994
1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,732.999,0,732.999
1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1220.49,0,1220.49
1,10,8,5,4.92767,0,0,0,0,868604,0,0,0,0,0,0,5032.46,0,873636
1,10,9,5,46.2948,0,0,0,0,488139,0,0,0,0,0,0,5032.96,0,493172
1,10,10,5,91.2411,0,0,0,0,373009,0,0,0,0,0,0,8835.37,0,381844
1,10,11,5,112.274,0,0,0,0,333778,0,0,0,0,0,0,8832.21,0,342610
1,10,12,5,126.67,0,0,0,0,307985,0,0,0,0,0,0,8831.05,0,316816
1,10,13,5,128.876,0,0,0,0,280224,0,0,0,0,0,0,8830.53,0,289055
1,10,14,5,109.281,0,0,0,0,249058,0,0,0,0,0,0,8830.16,0,257888
1,10,15,5,76.8556,0,0,0,0,225659,0,0,0,0,0,0,8829.8,0,234488
1,10,16,5,41.5554,0,0,0,0,237011,0,0,0,0,0,0,6883.38,0,243894
1,10,17,5,4.95091,0,0,0,0,270046,0,0,0,0,0,0,5017.99,0,275064
1,10,18,5,0,0,0,0,0,316747,0,0,0,0,0,0,3071.72,0,319819
1,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.61,0,2179.61
1,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.53,0,2179.53
1,10,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.79,0,2179.79
1,10,22,5,0,0,0,0,0,0,0,0,0,0,0,0,722.692,0,722.692
1,10,23,5,0,0,0,0,0,0,0,0,0,0,0,0,723.85,0,723.85
1,10,24,5,0,0,0,0,0,0,0,0,0,0,0,0,725.352,0,725.352
1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,392.605,0,392.605
1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,393.748,0,393.748
1,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,394.821,0,394.821
1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,395.862,0,395.862
1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,396.802,0,396.802
1,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,397.731,0,397.731
1,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,398.639,0,398.639
1,11,8,6,4.21422,0,0,0,0,0,0,0,0,0,0,0,399.511,0,399.511
1,11,9,6,45.3301,0,0,0,0,0,0,0,0,0,0,0,400.399,0,400.399
1,11,10,6,90.9899,0,0,0,0,0,0,0,0,0,0,0,401.274,0,401.274
1,11,11,6,116.004,0,0,0,0,0,0,0,0,0,0,0,402.074,0,402.074
1,11,12,6,129.975,0,0,0,0,0,0,0,0,0,0,0,402.456,0,402.456
1,11,13,6,128.319,0,0,0,0,0,0,0,0,0,0,0,402.516,0,402.516
1,11,14,6,112.926,0,0,0,0,0,0,0,0,0,0,0,402.631,0,402.631
1,11,15,6,85.9234,0,0,0,0,0,0,0,0,0,0,0,402.509,0,402.509
1,11,16,6,39.291,0,0,0,0,0,0,0,0,0,0,0,402.487,0,402.487
1,11,17,6,2.91239,0,0,0,0,0,0,0,0,0,0,0,402.547,0,402.547
1,11,18,6,0,0,0,0,0,0,0,0,0,0,0,0,402.745,0,402.745
1,11,19,6,0,0,0,0,0,0,0,0,0,0,0,0,403.241,0,403.241
1,11,20,6,0,0,0,0,0,0,0,0,0,0,0,0,404.036,0,404.036
1,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,404.803,0,404.803
1,11,22,6,0,0,0,0,0,0,0,0,0,0,0,0,405.547,0,405.547
1,11,23,6,0,0,0,0,0,0,0,0,0,0,0,0,406.255,0,406.255
1,11,24,6,0,0,0,0,0,0,0,0,0,0,0,0,406.925,0,406.925
1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,407.574,0,407.574
1,12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,408.096,0,408.096
1,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,408.638,0,408.638
1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,409.164,0,409.164
1,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,409.707,0,409.707
1,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,410.248,0,410.248
1,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,410.872,0,410.872
1,12,8,7,4.19295,0,0,0,0,0,0,0,0,0,0,0,411.483,0,411.483
1,12,9,7,45.1776,0,0,0,0,0,0,0,0,0,0,0,412.223,0,412.223
1,12,10,7,85.0344,0,0,0,0,0,0,0,0,0,0,0,412.87,0,412.87
1,12,11,7,115.623,0,0,0,0,0,0,0,0,0,0,0,413.501,0,413.501
1,12,12,7,140.673,0,0,0,0,0,0,0,0,0,0,0,413.65,0,413.65
1,12,13,7,255.376,0,0,0,0,0,0,0,0,0,0,0,413.67,0,413.67
1,12,14,7,255.544,0,0,0,0,0,0,0,0,0,0,0,413.578,0,413.578
1,12,15,7,167.932,0,0,0,0,0,0,0,0,0,0,0,413.466,0,413.466
